timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674428038693,208,The process done by Khaled-5,304,Not Modified,Thread Group 1-2,,true,,175,655,5,5,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1674428006909,533,Choose Flight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,91401,3849,5,5,null,292,31481,0
1674428044926,698,The process done by Ali,200,OK,Thread Group 1-6,text,true,,91401,3849,5,5,https://blazedemo.com/purchase.php,476,0,0
1674428044926,490,The process done by Ali-0,200,OK,Thread Group 1-6,text,true,,6715,646,5,5,https://blazedemo.com/purchase.php,476,0,0
1674428045418,205,The process done by Ali-1,200,OK,Thread Group 1-6,text,true,,83982,585,5,5,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,76,0,0
1674428045418,192,The process done by Ali-2,304,Not Modified,Thread Group 1-6,,true,,176,653,5,5,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1674428045418,202,The process done by Ali-3,304,Not Modified,Thread Group 1-6,,true,,176,655,5,5,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1674428045418,206,The process done by Ali-4,304,Not Modified,Thread Group 1-6,,true,,177,655,5,5,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1674428045418,202,The process done by Ali-5,304,Not Modified,Thread Group 1-6,,true,,175,655,5,5,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1674428007441,698,Choose Flight,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,91401,3849,5,5,null,476,37494,0
1674428048635,570,Eslam data,200,OK,Thread Group 1-3,text,false,Test failed: request data expected to contain /Kafr Elshikh/,6699,4008,5,5,https://blazedemo.com/confirmation.php,311,0,0
1674428048635,347,Eslam data-0,200,OK,Thread Group 1-3,text,true,,5780,755,5,5,https://blazedemo.com/confirmation.php,311,0,0
1674428048987,72,Eslam data-1,304,Not Modified,Thread Group 1-3,,true,,215,635,5,5,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,0,0,0
1674428048987,207,Eslam data-2,304,Not Modified,Thread Group 1-3,,true,,176,653,5,5,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1674428048987,190,Eslam data-3,304,Not Modified,Thread Group 1-3,,true,,176,655,5,5,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1674428048988,217,Eslam data-4,304,Not Modified,Thread Group 1-3,,true,,177,655,5,5,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1674428048988,197,Eslam data-5,304,Not Modified,Thread Group 1-3,,true,,175,655,5,5,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1674428029173,570,Enter your data,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-3,,false,,6699,4008,5,5,null,311,19464,0
1674428049024,526,Mostafa data,200,OK,Thread Group 1-5,text,true,,6699,3996,4,4,https://blazedemo.com/confirmation.php,312,0,0
1674428049024,319,Mostafa data-0,200,OK,Thread Group 1-5,text,true,,5780,743,4,4,https://blazedemo.com/confirmation.php,312,0,0
1674428049349,85,Mostafa data-1,304,Not Modified,Thread Group 1-5,,true,,215,635,4,4,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,0,0,0
1674428049348,200,Mostafa data-2,304,Not Modified,Thread Group 1-5,,true,,176,653,4,4,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1674428049348,197,Mostafa data-3,304,Not Modified,Thread Group 1-5,,true,,176,655,4,4,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1674428049349,200,Mostafa data-4,304,Not Modified,Thread Group 1-5,,true,,177,655,4,4,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1674428049349,201,Mostafa data-5,304,Not Modified,Thread Group 1-5,,true,,175,655,4,4,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1674428030148,526,Enter your data,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,6699,3996,4,4,null,312,18877,0
1674428051481,659,Khaled data,200,OK,Thread Group 1-2,text,true,,6699,4003,3,3,https://blazedemo.com/confirmation.php,437,0,0
1674428051481,450,Khaled data-0,200,OK,Thread Group 1-2,text,true,,5780,750,3,3,https://blazedemo.com/confirmation.php,437,0,0
1674428051937,80,Khaled data-1,304,Not Modified,Thread Group 1-2,,true,,215,635,3,3,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,0,0,0
1674428051936,193,Khaled data-2,304,Not Modified,Thread Group 1-2,,true,,176,653,3,3,https://blazedemo.com/assets/bootstrap.min.js,0,0,0
1674428051936,200,Khaled data-3,304,Not Modified,Thread Group 1-2,,true,,176,655,3,3,https://blazedemo.com/assets/bootstrap-table.js,0,0,0
1674428051936,204,Khaled data-4,304,Not Modified,Thread Group 1-2,,true,,177,655,3,3,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1674428051937,194,Khaled data-5,304,Not Modified,Thread Group 1-2,,true,,175,655,3,3,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1674428038923,659,Enter your data,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,6699,4003,3,3,null,437,12559,0
1674428084699,1299,Omar data,200,OK,Thread Group 1-1,text,true,,6699,4000,2,2,https://blazedemo.com/confirmation.php,807,0,290
1674428084699,814,Omar data-0,200,OK,Thread Group 1-1,text,true,,5780,747,2,2,https://blazedemo.com/confirmation.php,807,0,290
1674428085520,154,Omar data-1,304,Not Modified,Thread Group 1-1,,true,,215,635,2,2,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,0,0,79
1674428085519,475,Omar data-2,304,Not Modified,Thread Group 1-1,,true,,176,653,2,2,https://blazedemo.com/assets/bootstrap.min.js,0,0,282
1674428085519,475,Omar data-3,304,Not Modified,Thread Group 1-1,,true,,176,655,2,2,https://blazedemo.com/assets/bootstrap-table.js,0,0,281
1674428085519,479,Omar data-4,304,Not Modified,Thread Group 1-1,,true,,177,655,2,2,https://blazedemo.com/assets/bootstrap.min.css,0,0,287
1674428085520,199,Omar data-5,304,Not Modified,Thread Group 1-1,,true,,175,655,2,2,https://blazedemo.com/assets/bootstrap-table.css,0,0,0
1674428032103,1299,Enter your data,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,6699,4000,2,2,null,807,52599,290
1674428088139,1144,Ali data,200,OK,Thread Group 1-6,text,true,,6699,4001,1,1,https://blazedemo.com/confirmation.php,665,0,280
1674428088139,671,Ali data-0,200,OK,Thread Group 1-6,text,true,,5780,748,1,1,https://blazedemo.com/confirmation.php,665,0,280
1674428088812,130,Ali data-1,304,Not Modified,Thread Group 1-6,,true,,215,635,1,1,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,0,0,61
1674428088812,462,Ali data-2,304,Not Modified,Thread Group 1-6,,true,,176,653,1,1,https://blazedemo.com/assets/bootstrap.min.js,0,0,269
1674428088812,471,Ali data-3,304,Not Modified,Thread Group 1-6,,true,,176,655,1,1,https://blazedemo.com/assets/bootstrap-table.js,0,0,269
1674428088812,206,Ali data-4,304,Not Modified,Thread Group 1-6,,true,,177,655,1,1,https://blazedemo.com/assets/bootstrap.min.css,0,0,0
1674428088814,467,Ali data-5,304,Not Modified,Thread Group 1-6,,true,,175,655,1,1,https://blazedemo.com/assets/bootstrap-table.css,0,0,276
1674428045633,1144,Enter your data,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,6699,4001,1,1,null,665,42508,280
